采购项目名称	预算金额	行政区域	网址
秦皇岛市海港区住房保障和房产管理局中国船舶燃料河北有限公司职工家属区改造项目工程(秦皇岛市东山街社区、新开里社区)竞争性磋商公告	￥115.449900万元（人民币）	海港区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181114_11107316.htm
2017年度渔业执法装备建设项目建造（CLPSP18GZ11ZC28）公开招标公告	￥4486.000000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180927_10786657.htm
渝中区城市桥梁涉水桥墩（柱）防撞风险评估及防范措施 （第二次）(18C0112)采购公告	￥90.000000万元（人民币）	渝中区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181217_11358139.htm
中华人民共和国洋山港海事局海事巡逻艇运行与维护管理公开招标公告	￥414.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181120_11147124.htm
大连市总工会2018年“女职工特殊关爱室”扶助设施采购项目公开招标公告	￥17.000000万元（人民币）	大连市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181023_10948469.htm
海南海峡航运股份有限公司船舶保洁服务业务公开招标公告	￥273.000000万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181129_11234555.htm
惠州市惠城区畜牧兽医与渔业局水面清洁设备采购项目公开招标公告	￥343.000000万元（人民币）	惠城区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181102_11023709.htm
长江南京航道工程局“长鲸1”轮2018年中间检验厂修工程公开招标公告	￥400.000000万元（人民币）	鼓楼区	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201810/t20181010_10860975.htm
象山县港航管理局浙港航巡0803艇船舶修理采购项目的采购公告（第二次）	￥45.000000万元（人民币）	象山县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181114_11105345.htm
2018年第一批没收违法采砂船舶拆解服务项目招标公告	￥26.993000万元（人民币）	福州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180927_10784398.htm
滦南县水产服务中心渔船报废拆解服务项目招标公告	￥28.420000万元（人民币）	滦南县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181214_11344993.htm
交通运输部长江口航道管理局2019-2021年长江口航道养护施工检测（维护船舶区段调整测量）公开招标公告	￥5688.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181129_11234177.htm
交通运输部海事局海事网络网站运行维护项目-海事网站维护技术支持服务公开招标公告	￥1204.800000万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180926_10775215.htm
中国人民武装警察部队上海市边防总队海警支队海警31102舰2018年度小修工程及减摇鳍加装项目公开招标公告	￥640.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181023_10946897.htm
交通运输部救助打捞局2019-2021年船舶统一保险服务采购公开招标公告	￥2475.000000万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180914_10694962.htm
2018年度浙江海事局船舶溢油储备物资采购项目公开招标公告	￥70万元（人民币）	杭州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180903_10609651.htm
大连海事大学被控船舶仿真综合船桥设备采购公开招标公告	￥30万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180823_10539471.htm
交通运输部南海航海保障中心广州海事测绘中心船舶修理项目公开招标公告	￥160万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180810_10450793.htm
长江水利委员会水文局长江下游水文水资源勘测局长江委大江大河水文监测系统建设工程九江水文站趸船建造项目公开招标公告	￥322万元（人民币）	江西省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180801_10388354.htm
拱北海关后勤管理中心九洲海关208艇维修工程项目公开招标公告	￥97.485100万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180914_10693946.htm
自然资源部中国地质调查局青岛海洋地质研究所水合物实验系统配件和船用卫星VSAT通信系统及卫星电视升级项目公开招标公告	￥340.000000万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180926_10775052.htm
天津海事局船舶安全检查知识库及决策支持系统项目公开招标公告	￥200万元（人民币）	天津市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180706_10230461.htm
国家海洋局第二海洋研究所国家专项西太平洋海底底质调查航次用船项目公开招标公告	￥1100万元（人民币）	杭州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180719_10308835.htm
大连海事大学岸基混合现实(MR)呈现系统专用显示设备和三维模型成像设备采购公开招标公告	￥48万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180823_10539444.htm
河北海事局曹妃甸船舶交通管理系统改扩建工程视频监控、气象采集、支持保障等子系统采购国内公开招标项目公告	￥333.88万元（人民币）	秦皇岛市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180902_10604960.htm
福建省湄洲湾港口管理局综合行政执法支队船舶维修服务招标公告	￥28.93万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180810_10450010.htm
2018年中国科学院水生生物研究所科研仪器设备采购项目（第一批）公开招标公告	￥1442万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180801_10386244.htm
海南联网二回项目管理有限公司南方主网与海南电网第二回联网工程海缆运维船设计项目公开招标公告	￥180.000000万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180925_10770009.htm
厦门海洋职业技术学院厦门万翔-公开招标-XM2018-TZ5187 机舱三维仿真系统等设备采购公开招标公告	￥60.000000万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180913_10686437.htm
上海化学工业区管理委员会化工区航道航标维护项目的公开招标公告	￥832.2万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180706_10229572.htm
省海洋与渔业监督监察总队(中国海监山东总队渔业船舶检验局)山东省渔港经济区综合监管信息系统项目（二次招标）公开招标公告	详见公告正文	山东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180718_10305542.htm
中华人民共和国潍坊海事局防治船舶及其有关作业活动污染水域环境应急能力建设规划采购项目公开招标公告	￥70万元（人民币）	潍坊市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180731_10382293.htm
大连海事大学岸基混合现实（MR)呈现系统用船舶三维模型采购公开招标公告	￥42万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180823_10539326.htm
福建省湄洲湾港口管理局综合行政执法支队船舶维修服务公开招标公告	￥28.93万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180810_10449788.htm
河北海事局曹妃甸船舶交通管理系统改扩建工程管理信息子系统采购国内公开招标项目招标公告	￥128.5万元（人民币）	秦皇岛市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180902_10604961.htm
中国船舶重工集团公司第七二六研究所基于网络的SX设备试验环境项目公开招标公告	￥600.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180912_10681425.htm
广西恒基建设工程咨询有限公司关于沿海港口公共航道维护性疏浚、清障(工程施工)（项目编号：GXZC2018-G2-19813-GXHJ）公开招标公告	￥5283.930000万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180925_10768237.htm
中国人民武装警察部队上海市边防总队海警支队2018年度海警31018艇修理公开招标公告	￥280万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180718_10301677.htm
交通运输部水运科学研究所船舶尾气治理技术实验设备购置—船舶尾气排放实时监测小型实验系统等公开招标公告	￥543万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180706_10228812.htm
舟山边防检查站边检3306艇维修工程公开招标公告	￥12.3255万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180823_10538334.htm
濮阳县交通运输局黄河专用渡船采购项目招标公告	￥168万元（人民币）	河南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180730_10374827.htm
天津市气象服务中心海洋工程现场气象服务保障能力建设及海洋气象预警信息发布管理平台本地化建设项目公开招标公告	￥105万元（人民币）	天津市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180831_10600190.htm
黄骅市农业局渔港环境卫生治理服务招标公告	￥297万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180810_10449601.htm
中国船舶重工集团公司第七二六研究所基于网络的SX设备试验环境项目公开招标公告	￥600.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180911_10672654.htm
海南热带海洋学院-海南热带海洋学院船舶电子电器工程专业实验教学平台项目(二次招标） -公开招标公告	￥320.000000万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180925_10766453.htm
地方海事局长江干流及支流港口码头和船舶生活垃圾清运服务项目	￥1100000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180717_10295542.htm
省海洋与渔业监督监察总队(中国海监山东总队渔业船舶检验局)山东省维权支队指挥中心项目公开招标公告	详见公告正文	山东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180705_10224813.htm
昌江公安边防支队招聘船舶管理员项目公开招标公告	￥98.6万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180809_10447206.htm
厦门中实-公开招标-2018-ZS2179-400客位客船设计及建造公开招标公告	￥4800万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180831_10599713.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180730_10374635.htm
贵州省贞丰县地方海事处董箐库区航运建设工程配套航道维护管理装备设备采购项目（二次）采购公告	￥245万元（人民币）	贞丰县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180823_10537402.htm
中外文化交流中心运输供应商遴选采购项目公开招标公告	￥0.000000万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180911_10672347.htm
广西恒基建设工程咨询有限公司关于沿海港口公共航道维护性疏浚、清障(工程施工)（项目编号：GXZC2018-G2-19813-GXHJ）公开招标公告	￥5283.930000万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180925_10765968.htm
中华人民共和国海南海事局-海南海事局水上动态监管协同管理系统项目(二次招标）-公开招标公告	￥110万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180717_10294101.htm
交通运输部长江口航道管理局2018年泥驳 “长江口驳2”坞修项目公开招标公告	￥380万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180704_10216830.htm
中华人民共和国海河海事局海河沿线桥梁应急值守船舶租赁项目（项目编号：TJBHZB-2018-102）招标公告	￥566.5267万元（人民币）	天津市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180831_10599760.htm
中华人民共和国大连海关查扣船舶值守服务定点项目公开招标公告	￥0万元（人民币）	中山区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180809_10444823.htm
中华人民共和国上海海事局上海海事局船舶交通管理系统改扩建工程配套设备采购项目公开招标公告	￥958万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180730_10371793.htm
海南海峡航运股份有限公司-2018年“信海16号”轮厂修项目-公开招标公告	￥175万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180822_10533427.htm
中国科学院声学研究所南海研究站-26米试验船设计、建造项目-公开招标公告	￥368.060000万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180911_10669302.htm
2018年度船舶修理项目公开招标公告	￥650.000000万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180925_10765034.htm
黄河水利委员会山东水文水资源局黄委大江大河水文监测系统建设工程（一期）水文测验船舶建造监理公开招标公告	￥65万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180717_10292807.htm
省海洋与渔业监督监察总队(中国海监山东总队渔业船舶检验局)山东省近海海域雷达监控系统建设项目公开招标公告	详见公告正文	山东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180704_10215266.htm
广西建设工程机电设备招标中心中华人民共和国广西海事局广西海事局西江干线海事综合监管服务系统工程主体设备采购安装及系统建设公开招标公告	￥0万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180831_10599402.htm
中华人民共和国上海海事局上海海事局长江口监管基地码头疏浚工程项目公开招标公告	￥158万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180809_10442066.htm
中国科学院南海海洋研究所“实验1”科考船特别检验和坞修采购项目公开招标公告	￥400万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180730_10371651.htm
广东省珠海市质量计量监督检测所国家船舶及海工质检中心能力提升-船舶及海工装备材料环保及有害物分析设备采购项目（包组一重招）公开招标公告	￥165万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180822_10528652.htm
广东交通职业技术学院船岸数据通讯系统、船舶柴油机排放多参数分析仪及传感器采购项目公开招标公告	￥96.300000万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180910_10660608.htm
海南海峡航运股份有限公司-2018年“六连岭”轮厂修项目-公开招标公告	￥175.000000万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180925_10762893.htm
淅川县增殖放流站设备采购项目（三次）招标公告	￥60万元（人民币）	淅川县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180717_10291593.htm
福建省泉州港口管理局船舶维保服务项目招标公告公开招标公告	￥14.3万元（人民币）	泉州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180831_10599280.htm
中华人民共和国闵行海事局2018年度船舶修理（第二次）采购项目公开招标公告	￥41.5万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180704_10214997.htm
中华人民共和国曹妃甸边防检查站边检执勤艇监理服务招标项目公开招标公告	￥35万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180730_10370134.htm
洛阳市河渠管理处关于水面垃圾打捞船项目招标公告	￥140万元（人民币）	洛阳市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180808_10439437.htm
广东省珠海市质量计量监督检测所国家船舶及海工质检中心能力提升-船舶及海工装备材料环保及有害物分析设备采购（包组一重招）公开招标公告	￥165万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180822_10528413.htm
中华人民共和国揭阳海事局编制《揭阳市防治船舶及其有关作业活动污染水域环境应急能力建设规划》项目公开招标公告	￥42.000000万元（人民币）	揭阳市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180910_10658422.htm
乐亭县水产中心海洋渔船救生设备更新采购项目招标公告	￥288.486000万元（人民币）	乐亭县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180925_10762659.htm
厦门吉百特投资咨询有限公司渔港和渔业船舶防台风风险评估公开招标公告	￥20万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180716_10289314.htm
河北省海洋与水产科学研究院（河北省海洋渔业生态环境监测站）2018年科研项目船舶租赁政府采购项目公开招标公告	￥62万元（人民币）	河北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180831_10596869.htm
交通运输部长江口航道管理局船用国标0#柴油、润滑油及船舶日用淡水采购（No.1801）公开招标公告	￥4700万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180704_10214584.htm
广西顺鸿招标代理有限公司执法船舶维护保养（LZG18-459）公开招标公告	￥34万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180730_10370152.htm
长江海事局船舶保险及海事监管专用设备保险服务采购项目公开招标公告	￥230万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180808_10439929.htm
唐河县滨河游览区建设管理委员会水草收割船及电动巡逻车采购项目招标公告	￥0万元（人民币）	唐河县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180822_10525708.htm
渔业船舶拆解服务项目（二次）招标公告	￥34.300000万元（人民币）	凤阳县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180907_10651720.htm
广州市公安局2018-2020年度船舶定点维修服务项目（采购项目编号：GZCQC1800FG06012）招标公告	￥1080.000000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180921_10751055.htm
南平市水路运输管理处《南平市港口和船舶污染物接收转运及处置设施建设方案》服务类采购项目招标公告	￥45万元（人民币）	南平市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180831_10593776.htm
内河水域船舶污染物免费接收经费项目的公开招标公告	￥1080万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180716_10285196.htm
福建省宝廉投资咨询有限公司关于泉州港口服务有限公司船舶保险服务采购公开招标公告	￥5万元（人民币）	泉州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180703_10208125.htm
广州海事局26米钢铝巡逻船建造项目公开招标公告	￥600万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180807_10433445.htm
莆田市秀屿区石南轮渡有限公司关于新建客渡船(两艘）采购项目(重新招标）公开招标公告	￥4043.3034万元（人民币）	秀屿区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180727_10365165.htm
广西科文招标有限公司广西交通职业技术学院各系部教学仪器设备采购（GXZC2018-G1-18966-KWZB）公开招标公告	￥0万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180821_10516296.htm
阜阳市水务局23m水政执法艇采购项目（三次）招标公告	￥180.000000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180907_10650956.htm
乐亭县水产中心海洋渔船无线示位标采购项目招标公告	￥114.750000万元（人民币）	乐亭县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180921_10748418.htm
青岛市海洋与渔业局青岛市渔业船舶安全保障监控中心升级建设项目公开招标公告	详见公告正文	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180830_10591629.htm
交通运输部长江口航道管理局船舶备件采购（No.1807）公开招标公告	￥400万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180716_10284387.htm
省海洋与渔业监督监察总队(中国海监山东总队渔业船舶检验局)中国海监4001、4002船工作艇采购公开招标公告	详见公告正文	山东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180703_10207725.htm
河北省南运河河务管理处河北省南运河河务管理处2018年度水利工程运行与维护（II标段）招标公告	￥29.357万元（人民币）	河北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180727_10362363.htm
单县浮龙湖旅游景区游船采购项目	详见公告正文	菏泽市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180820_10512141.htm
2018—2021年沙澧河景区专业养护采购项目招标公告	￥546.09万元（人民币）	漯河市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180807_10431513.htm
蚌埠经济开发区经贸发展二局水政监督艇项目皖C-2018-ZF-CG-Z-343-1招标公告	￥0.014000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180907_10650526.htm
乐亭县水产中心海洋渔船北斗终端采购项目招标公告	￥276.250000万元（人民币）	乐亭县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180921_10748417.htm
象山县海洋与渔业局采购渔船手持双向无线对讲机项目（重发2）的采购公告	￥180万元（人民币）	象山县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180830_10590183.htm
交通运输部长江口航道管理局船舶备件采购（No.1802）公开招标公告	￥300万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180716_10284311.htm
广东海事局2018年度船舶溢油清除物资储备国内公开招标项目招标公告	￥155.6万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180703_10206998.htm
国家海洋局北海海洋工程勘察研究院“向阳红07”、“向阳红08”船特检修理工程招标项目公开招标公告	￥86万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180727_10361938.htm
2018—2021年沙澧河景区专业养护采购项目招标公告	￥546.09万元（人民币）	河南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180807_10431239.htm
广东省渔政总队直属二支队钢质执法船艇定点维修服务采购项目（GZSW18198FG2145）招标公告	￥0万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180820_10509955.htm
涡阳县住家（渔）船拆解采购 项目（标段编号：2018GYFZ0019）招标公告	￥480.050000万元（人民币）	涡阳县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180907_10650725.htm
湛江经济技术开发区硇洲镇人民政府广东省硇洲示范性渔港建设项目港池内残旧沉搁废弃船舶清理公开招标公告	￥294.000000万元（人民币）	湛江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180920_10741819.htm
象山县石浦镇人民政府石浦港船舶污染物接受服务外包采购的采购公告	￥258万元（人民币）	象山县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180713_10274750.htm
中华人民共和国长江海事局长江海事局船舶保险及海事监管专用设备保险服务采购项目招标公告(二次)公开招标公告	￥230万元（人民币）	武汉市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180830_10589720.htm
珠海市公安边防支队船艇定点维修服务项目公开招标公告	￥1万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180703_10205528.htm
贵州省贞丰县地方海事处董箐库区航运建设工程配套航道维护管理装备设备采购项目采购公告	￥245万元（人民币）	贞丰县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180727_10359114.htm
交通运输部北海航海保障中心天津通信中心5KW高频发信机购置项目公开招标公告	￥160万元（人民币）	天津市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180820_10507148.htm
海南海峡航运股份有限公司-2018年“长乐公主”轮厂修项目-公开招标公告	￥175万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180807_10426421.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180907_10653589.htm
中国人民银行上海总部计算机机房基础设施2019年维护服务公开招标公告	￥110.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180920_10739987.htm
武汉理工大学六自由度船舶操纵仿真平台（二期）采购项目公开招标公告	￥545万元（人民币）	武汉市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180702_10202972.htm
国家海洋局北海分局“中国海警1111”船维修改造项目公开招标公告	￥4500万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180830_10590129.htm
中国科学院南海海洋研究所新型地球物理综合科学考察船项目船舶建造监理公开招标公告	￥377.35万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180713_10273558.htm
广西新宇建设项目管理有限公司2018海葬补助及工作经费（XYEZFG2018122）公开招标采购公告	￥138万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180819_10504498.htm
交通运输部水运科学研究所船舶尾气治理技术实验设备购置—颗粒物测量系统、氮氧化物分析系统和总氮氢分析系统公开招标公告（二次）	￥146万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180727_10358530.htm
晋江市渔业船舶安全生产风险分级管控社会化服务采购项目招标公告	￥40万元（人民币）	晋江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180807_10425275.htm
海南省海洋与渔业监察总队-洋浦防风水鼓二期项目-公开招标公告	￥171.561197万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180907_10648310.htm
交通运输部长江口航道管理局船舶疏浚监控系统及通导设备维护项目（2019-2020年度）公开招标公告	￥520.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180920_10739218.htm
中国科学院南海海洋研究所新型地球物理综合科学考察船项目船舶建造公开招标公告	￥30272.47万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180829_10580637.htm
广东省梅州航道事务中心梅县航标与测绘所新建1吨旋转吊航标工作船公开招标公告	￥368万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180713_10273167.htm
上海上投招标有限公司关于中国海警局东海分局筹备组应急通信备品备件采购项目公开招标公告	￥357万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201807/t20180702_10200106.htm
中国海警局东海分局筹备组中国海警2502船、中国海警2901船2018年坞检修理项目公开招标公告	￥420万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201808/t20180817_10501402.htm
交通运输部长江航务管理局三峡枢纽水运新通道代表船型研究公开招标公告	￥200万元（人民币）	武汉市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180727_10358076.htm
上海交通大学船舶海洋与建筑工程学院拖曳水池辅助拖车公开招标公告	￥260万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180807_10424772.htm
莆田市海洋与渔业执法支队中国渔政35201船年度维修保养项目服务类采购项目招标公告	￥38.400000万元（人民币）	莆田市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180907_10647602.htm
芜湖市地方海事局海巡1501、稽查6号、运政0401、海巡1526艇维修工程（二包）	￥205170.690000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180920_10737565.htm
中华人民共和国曹妃甸边防检查站边检执勤艇采购项目公开招标公告	￥817.74万元（人民币）	石家庄市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180829_10576708.htm
广东省渔政总队台山大队中国海监9060船维修服务项目公开招标公告	￥84.4235万元（人民币）	江门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180713_10272438.htm
广西壮族自治区建设工程机电设备招标中心南宁市内陆停泊50吨级渔政船的趸船采购【HC（8）2018006GNN】公开招标公告	￥365万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180629_10192566.htm
