采购项目名称	预算金额	行政区域	网址
广东省渔政总队珠海支队广东省渔政总队珠海支队中国渔政44183船及执法船艇维修采购项目公开招标公告	￥155.500000万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181009_10844813.htm
开平市农业局渔业监测趸船设计与建造项目招标公告	￥248.999000万元（人民币）	江门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181101_11014162.htm
长江干流巴东段清漂设备采购项目招标公告	￥580.025500万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181113_11094377.htm
广西金算子建设工程咨询有限公司趸船船体建造项目公开招标公告	￥345.000000万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181127_11206241.htm
广州海洋地质调查局船舶油漆采购项目公开招标公告	￥95.000000万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201812/t20181228_11438030.htm
中国海监第一支队中国海警1501船坞修招标项目公开招标公告	￥63.500000万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181022_10940055.htm
采购玻璃钢快艇货物类采购项目招标公告	￥35.000000万元（人民币）	霞浦县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181212_11330329.htm
青岛市港航管理局近海船舶系统运维服务公开招标公告	详见公告正文	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181119_11140171.htm
大连海事大学岸基混合现实(MR)呈现系统专用显示设备和三维模型成像设备采购公开招标公告	￥48.000000万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181101_11011460.htm
广东省渔政总队珠海支队中国渔政44183船及执法船艇维修采购项目公开招标公告	￥155.000000万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181008_10843392.htm
中国海警局北海分局筹备组中国海警1112舰、1116舰、1303舰、1304舰、1103舰船舶维修公开招标公告	￥560.020000万元（人民币）	烟台市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181112_11092618.htm
信息大学航道地图演变分析平台等网络设备公开招标采购公告	￥0.000000万元（人民币）	河南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181127_11205046.htm
沧州黄骅港航务工程有限公司船舶投保项目公开招标公告二次公告	￥150.000000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181228_11438049.htm
三峡枢纽水运新通道船闸进水方式和上游引航道及口门区通航水流条件研究公开招标公告	￥280.000000万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181019_10928765.htm
中国海警3501船2018年坞检修理项目（重招）（项目编号：0724-1801D20N5195）公开招标公告	￥448.352600万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201812/t20181212_11330116.htm
青岛市港航管理局近海船舶系统运维服务公开招标公告	￥98.000000万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181119_11140146.htm
